tmdbId,genres
76493,Comedy
334541,Drama
1927,"Science Fiction, Adventure, Action"
445571,"Mystery, Comedy, Crime"
228967,"Action, Comedy"
8488,"Comedy, Drama, Romance"
2034,"Action, Crime, Drama"
628,"Horror, Drama, Fantasy"
159824,"Animation, Comedy, Family, Fantasy"
49040,"Action, Thriller"
274857,"Action, Drama, Fantasy"
235,"Crime, Drama"
3049,"Comedy, Adventure"
10530,"Adventure, Animation, Family, Romance"
388,"Crime, Drama, Thriller"
400106,"Fantasy, Action, Thriller"
1573,"Action, Thriller"
50546,"Comedy, Romance"
260514,"Animation, Adventure, Comedy, Family"
396422,"Horror, Mystery, Thriller"
9340,"Adventure, Comedy, Family"
527641,"Romance, Drama"
426,"Mystery, Romance, Thriller"
861,"Action, Adventure, Science Fiction"
3170,"Animation, Drama, Family"
507086,"Adventure, Action, Science Fiction"
49529,"Action, Adventure, Science Fiction"
856,"Fantasy, Animation, Comedy, Crime"
545611,"Action, Adventure, Science Fiction"
451048,"Action, Adventure, Fantasy"
338967,"Comedy, Horror"
12162,"Drama, Thriller, War"
117,"Crime, Drama, History, Thriller"
307081,"Action, Drama"
1624,Comedy
2675,"Drama, Thriller, Science Fiction, Mystery"
105864,"Adventure, Animation, Family"
512195,"Action, Comedy, Crime"
345920,"Drama, Romance"
630,"Adventure, Fantasy, Family"
10386,"Family, Animation, Science Fiction, Drama"
251,"Fantasy, Drama, Thriller, Mystery, Romance"
4523,"Comedy, Family, Fantasy, Romance"
254470,"Comedy, Music"
9532,Horror
1538,"Drama, Crime, Thriller"
335787,"Action, Adventure"
10198,"Romance, Family, Animation"
613504,"Romance, Drama"
41733,"Comedy, Drama"
15,"Mystery, Drama"
75,"Comedy, Fantasy, Science Fiction"
480530,"Drama, Action"
568,"Drama, History"
10009,"Adventure, Animation, Family"
10693,"Animation, Family, Adventure, Fantasy"
948,"Horror, Thriller"
400928,"Drama, Comedy"
1635,"Action, Thriller, Science Fiction, Adventure"
9444,"Animation, Family, Fantasy, Adventure"
447365,"Science Fiction, Adventure, Action"
879,"Adventure, Fantasy, Comedy, Family"
289,"Drama, Romance"
8961,"Adventure, Action, Comedy, Thriller, Crime"
369972,"History, Drama"
76726,"Science Fiction, Drama, Thriller"
44264,"Drama, Adventure, Western"
286565,"Mystery, Drama, Romance"
10340,"Family, Animation, Romance"
76285,"Adventure, Family, Fantasy"
85350,Drama
754,"Action, Crime, Science Fiction"
718930,"Action, Comedy, Thriller"
10315,"Adventure, Animation, Comedy, Family"
215,Horror
107846,"Action, Thriller"
16996,Comedy
10882,"Fantasy, Animation, Romance, Family"
414,"Action, Crime, Fantasy"
6637,"Action, Adventure, Mystery, Thriller"
10096,"Comedy, Fantasy, Romance"
9480,"Fantasy, Action"
43347,"Drama, Comedy, Romance"
1991,"Action, Thriller"
23827,"Horror, Mystery"
10112,"Animation, Comedy, Family, Adventure"
81005,"Fantasy, Action, Adventure, Family"
201085,"Horror, Romance"
345887,"Action, Thriller, Crime"
60308,Drama
27022,"Fantasy, Adventure, Action"
5876,"Horror, Science Fiction, Thriller"
6114,"Romance, Horror"
415,"Action, Science Fiction, Adventure, Comedy"
447200,"Action, Thriller"
10545,"Drama, Animation, Family"
297,"Fantasy, Drama, Romance"
1581,"Comedy, Romance"
11360,"Animation, Family"
